tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561947153.0,4,50.96607,6.99012,7.0,778136.5989838775,6615294.091716985
1561947159.0,5,50.92351,6.96044,13.0,774832.6364971332,6607774.663978184
1561947160.0,1,50.92778,6.93492,10.0,771991.7630920887,6608528.769664572
1561947160.0,4,50.96589,6.99057,7.0,778186.6927547344,6615262.275124448
1561947161.0,3,50.94264,6.94041,11.0,772602.9070965438,6611153.667860599
1561947164.0,0,50.97209,6.9681,11.0,775685.3437966096,6616358.250996915
1561947167.0,4,50.96576,6.99101,7.0,778235.6733306835,6615239.296550953
1561947170.0,1,50.92769,6.93474,10.0,771971.7255837459,6608512.874451214
1561947172.0,3,50.94254,6.94043,11.0,772605.1334863597,6611136.000869955
1561947172.0,5,50.92343,6.96035,13.0,774822.6177429617,6607760.53619494
1561947174.0,4,50.96515,6.99299,7.0,778456.0859224541,6615131.474872569
1561947175.0,0,50.97286,6.96812,11.0,775687.5701864255,6616494.374342676
1561947180.0,1,50.92747,6.93407,10.0,771897.1415249145,6608474.019614701
1561947181.0,4,50.96497,6.99357,7.0,778520.6512271143,6615099.658910135
1561947183.0,3,50.94231,6.9404,11.0,772601.7939016359,6611095.366935679
1561947185.0,5,50.92338,6.96027,13.0,774813.7121836982,6607751.706342745
1561947186.0,0,50.97355,6.96815,11.0,775690.9097711492,6616616.35692053
1561947188.0,4,50.96495,6.9937,7.0,778535.1227609173,6615096.123810811
1561947190.0,1,50.92722,6.93333,10.0,771814.7651017274,6608429.86661444
1561947194.0,3,50.94197,6.94034,11.0,772595.1147321883,6611035.29974887
1561947195.0,4,50.96491,6.99377,7.0,778542.9151252728,6615089.05361672
1561947197.0,0,50.97429,6.96817,11.0,775693.1361609651,6616747.180829752
1561947198.0,5,50.92325,6.95954,13.0,774732.4489554191,6607728.748771463
1561947200.0,1,50.927,6.93282,10.0,771757.992161423,6608391.012170507
1561947202.0,4,50.96475,6.99427,7.0,778598.5748706696,6615060.772901238
1561947205.0,3,50.94157,6.94024,11.0,772583.982783109,6610964.63303265
1561947208.0,0,50.97431,6.96852,11.0,775732.0979827427,6616750.716640015
1561947209.0,4,50.96428,6.9958,7.0,778768.8936915832,6614977.698862817
1561947210.0,1,50.92695,6.93272,10.0,771746.8602123435,6608382.181640689
1561947211.0,5,50.92314,6.959,13.0,774672.3364303907,6607709.323184318
